City,State,SizeRank,Date,Sell_Price
Raleigh,NC,47,2008-07-01,172700
Rochester,NY,50,2008-07-01,NA
Tucson,AZ,52,2008-07-01,193600
Fresno,CA,55,2008-07-01,196700
Albany,NY,59,2008-07-01,177500
Bakersfield,CA,62,2008-07-01,179700
Ventura,CA,65,2008-07-01,416200
El Paso,TX,67,2008-07-01,NA
Greensboro,NC,71,2008-07-01,118800
North Port-Sarasota-Bradenton,FL,73,2008-07-01,205200
Stockton,CA,75,2008-07-01,NA
Syracuse,NY,77,2008-07-01,110500
Winston-Salem,NC,79,2008-07-01,125900
Fort Myers,FL,82,2008-07-01,178400
Lakeland,FL,86,2008-07-01,149800
Daytona Beach,FL,88,2008-07-01,161700
Melbourne,FL,95,2008-07-01,154200
Modesto,CA,100,2008-07-01,193500
Durham,NC,102,2008-07-01,169500
Santa Rosa,CA,103,2008-07-01,379300
Pensacola,FL,108,2008-07-01,142300
Visalia,CA,109,2008-07-01,172200
Asheville,NC,114,2008-07-01,NA
Port St. Lucie,FL,115,2008-07-01,153300
Santa Maria-Santa Barbara,CA,116,2008-07-01,344100
Salinas,CA,119,2008-07-01,NA
Vallejo,CA,120,2008-07-01,274800
Killeen,TX,123,2008-07-01,106800
Tallahassee,FL,133,2008-07-01,161000
Fayetteville,NC,135,2008-07-01,NA
Hickory,NC,136,2008-07-01,111100
Ocala,FL,142,2008-07-01,134800
Naples,FL,144,2008-07-01,309900
Utica,NY,153,2008-07-01,89200
San Luis Obispo,CA,160,2008-07-01,449200
Gainesville,FL,161,2008-07-01,161100
Santa Cruz,CA,162,2008-07-01,539300
Merced,CA,165,2008-07-01,NA
Wilmington,NC,166,2008-07-01,211600
Waco,TX,169,2008-07-01,NA
Amarillo,TX,171,2008-07-01,108700
Binghamton,NY,172,2008-07-01,NA
Crestview-Fort Walton Beach-Destin,FL,177,2008-07-01,239700
Chico,CA,184,2008-07-01,234500
Prescott,AZ,188,2008-07-01,231200
Tyler,TX,190,2008-07-01,NA
Lake Havasu City,AZ,198,2008-07-01,174700
Yuma,AZ,203,2008-07-01,163200
Panama City,FL,211,2008-07-01,204300
Kingston,NY,212,2008-07-01,NA
Redding,CA,217,2008-07-01,229100
El Centro,CA,219,2008-07-01,NA
Greenville,NC,223,2008-07-01,128100
Yuba City,CA,226,2008-07-01,183900
Abilene,TX,227,2008-07-01,NA
Punta Gorda,FL,233,2008-07-01,149600
Hanford,CA,246,2008-07-01,203400
Rocky Mount,NC,248,2008-07-01,NA
Burlington,NC,250,2008-07-01,124600
Madera,CA,251,2008-07-01,NA
Midland,TX,262,2008-07-01,NA
Homosassa Springs,FL,263,2008-07-01,132600
Vero Beach,FL,267,2008-07-01,165200
Odessa,TX,268,2008-07-01,NA
Napa,CA,269,2008-07-01,417100
Eureka,CA,271,2008-07-01,264200
